"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.109754646E0,3.954000092E1,-1.542000008E1,3.234000015E1,5.335788306E1
1.117719734E0,3.941999817E1,-1.505999947E1,3.227999878E1,5.312944721E1
1.125623786E0,3.959999847E1,-1.505999947E1,3.197999954E1,5.308185974E1
1.133588874E0,3.965999985E1,-1.488000011E1,3.221999741E1,5.322084389E1
1.141431892E0,3.947999954E1,-1.500000000E1,3.281999969E1,5.348665949E1
1.149335945E0,3.923999786E1,-1.523999977E1,3.281999969E1,5.337778007E1
1.157331550E0,3.923999786E1,-1.511999989E1,3.365999985E1,5.386452839E1
1.165235603E0,3.923999786E1,-1.493999958E1,3.365999985E1,5.381427886E1
1.173231208E0,3.954000092E1,-1.457999992E1,3.323999786E1,5.367388125E1
1.181104743E0,3.965999985E1,-1.469999981E1,3.347999954E1,5.394363680E1
1.189008796E0,3.947999954E1,-1.469999981E1,3.311999893E1,5.358819541E1
1.197004402E0,3.954000092E1,-1.500000000E1,3.300000000E1,5.364151072E1
1.204908454E0,3.941999817E1,-1.529999924E1,3.275999832E1,5.349059471E1
1.212873542E0,3.941999817E1,-1.535999966E1,3.263999939E1,5.343440282E1
1.220716560E0,3.936000061E1,-1.577999973E1,3.275999832E1,5.358577731E1
1.228651130E0,3.959999847E1,-1.559999943E1,3.311999893E1,5.393008614E1
1.236616218E0,3.929999924E1,-1.577999973E1,3.341999817E1,5.394807327E1
1.244520271E0,3.947999954E1,-1.559999943E1,3.323999786E1,5.391593275E1
1.252485359E0,3.941999817E1,-1.535999966E1,3.329999924E1,5.384009467E1
1.260389411E0,3.954000092E1,-1.559999943E1,3.281999969E1,5.370217905E1
1.268293464E0,3.995999908E1,-1.542000008E1,3.270000076E1,5.388754939E1
1.276289070E0,3.977999878E1,-1.542000008E1,3.275999832E1,5.379072592E1
1.284193122E0,3.989999771E1,-1.529999924E1,3.257999802E1,5.373598482E1
1.292188728E0,3.947999954E1,-1.500000000E1,3.275999832E1,5.344986299E1
1.300031745E0,3.984000015E1,-1.463999939E1,3.305999756E1,5.380073078E1
1.307935798E0,3.971999741E1,-1.457999992E1,3.305999756E1,5.369560532E1
1.315900886E0,3.984000015E1,-1.439999962E1,3.305999756E1,5.373591946E1
1.323835456E0,4.050000000E1,-1.451999950E1,3.300000000E1,5.422250811E1
1.331800544E0,4.031999969E1,-1.481999969E1,3.281999969E1,5.406003280E1
